item_name,base_price,pos_id,available,description,modifiers_json
Bagel Chips,7.79,7cba6050-27b6-4a83-a9e2-a0269852d5ef,Yes,,"[{""group_name"": ""Bagel Chips Flavor"", ""required"": false, ""modifiers"": [{""name"": ""Barbecue"", ""modifier_id"": ""ec93ea51-2dca-4a29-ad2f-aef1f967e9c6"", ""price"": null}, {""name"": ""Plain"", ""modifier_id"": ""e647c9c1-443e-41e5-9b84-c041cf6006df"", ""price"": null}, {""name"": ""Zatar"", ""modifier_id"": ""4b128dbb-fe87-487d-bd2c-90c7d3fa82aa"", ""price"": null}, {""name"": ""Everything"", ""modifier_id"": ""9bb97c36-ffb4-41b6-9e05-6d4a77155e60"", ""price"": null}, {""name"": ""Garlic"", ""modifier_id"": ""2cee2cb2-faf6-48d4-90d8-6a9ec6a9e9b0"", ""price"": null}]}]"
Blintzes,7.79,eed73397-4f46-45ef-a9e6-b0aff6dfedc4,Yes,,[]
Cheese Cake,7.79,5ff47109-3a55-4800-b772-2ad1d28eb0d8,Yes,,"[{""group_name"": ""Cheese Cake Flavor"", ""required"": false, ""modifiers"": [{""name"": ""Lotus"", ""modifier_id"": ""4c75e5f9-d02e-466c-bef2-570c557f032b"", ""price"": null}, {""name"": ""Oreo"", ""modifier_id"": ""e44174a2-8708-471a-aac5-cea0fcae4dc8"", ""price"": null}, {""name"": ""Rosemary"", ""modifier_id"": ""77d5146d-d905-4163-9e80-3bfce5fb434b"", ""price"": null}]}]"
Cheese Snack,5.85,6de19a91-f8d8-438a-94fa-f53a17411c0f,Yes,,"[{""group_name"": ""Cheese Snack Flavor"", ""required"": false, ""modifiers"": [{""name"": ""Greek"", ""modifier_id"": ""08ecc78f-fc8d-47e1-a955-00cc300c48d2"", ""price"": null}, {""name"": ""Non-Dairy Original"", ""modifier_id"": ""64f86f4e-1d16-48f7-8874-176504707ef2"", ""price"": null}]}]"
Ice Cream,3.89,2555889c-316f-4eb6-aa46-18cca9b90d8c,Yes,,"[{""group_name"": ""Ice Cream Toppings"", ""required"": false, ""modifiers"": [{""name"": ""Sprinkles"", ""modifier_id"": ""4cbac8b8-c4e4-4ce2-9f8b-aedf34d5a867"", ""price"": 0.5}, {""name"": ""Cookie Crumbs"", ""modifier_id"": ""0da13d90-5b62-47e8-bcb3-db7cf7cb55ac"", ""price"": 0.5}]}]"
Veggie Cup,7.79,3d3cea4e-bde3-4d00-bc78-265c5184b1b9,Yes,,[]
Yo Bar,3.90,7a5a7806-9ad0-45bf-86c1-14e028c3c085,Yes,,"[{""group_name"": ""Yo Bar Flavor"", ""required"": false, ""modifiers"": [{""name"": ""Hazelnut"", ""modifier_id"": ""99eac4e8-b24c-4df3-b4f4-6d2ac2fd5be2"", ""price"": null}, {""name"": ""Vanilla"", ""modifier_id"": ""3fbd2917-87ba-4673-b7c8-592d9d4b6496"", ""price"": null}]}]"
Yogurt Cup,6.49,6adf2eba-4b3c-4dd1-8e06-37ba34710f8d,Yes,,[]
Fiji Water,3.89,5e3d8941-991c-47f7-a1cb-fd5255be174d,Yes,,[]
Vitamin Water,3.58,4e367cc3-0440-4cc8-a6e8-8d0b1ed9b7a0,Yes,,"[{""group_name"": ""Vitamin Water Flavor"", ""required"": false, ""modifiers"": [{""name"": ""acai blueberry pomegranate"", ""modifier_id"": ""e1f5f752-93d1-4f3d-9ec7-0c6f5b31cb77"", ""price"": null}, {""name"": ""tropical citrus"", ""modifier_id"": ""02fc0707-62aa-45c2-a656-7f871855c4f1"", ""price"": null}]}]"
Water Bottle,2.73,19ede47f-3110-41f8-8947-b69087a32e6f,Yes,,"[{""group_name"": ""Water Bottle Size"", ""required"": true, ""modifiers"": [{""name"": ""Small Bottle"", ""modifier_id"": ""f7b15d32-fbb9-478b-9dc2-088e0c3bda3e"", ""price"": null}, {""name"": ""Sport Bottle"", ""modifier_id"": ""55700cdd-20de-439d-90a1-c7b98861ab0b"", ""price"": 0.65}]}]"
