item_name,base_price,pos_id,available,description,modifiers_json
Avocado Sourdough Toast,15.59,a88b41f4-7e00-4226-a0da-e6e5ed794dbd,Yes,"Avocado, tomato, pickled red onions, feta cheese, and pumpkin seeds on sourdough. (1 toast per order)","[{""group_name"": ""Avocado Sourdough Modifiers"", ""required"": false, ""modifiers"": [{""name"": ""Feta Cheese"", ""modifier_id"": ""1d74da74-13cc-419a-a917-28cc2da36cf9"", ""price"": null}, {""name"": ""Pickled Red Onion"", ""modifier_id"": ""114d0374-822d-4db7-88bd-6fb2fb64fc62"", ""price"": null}, {""name"": ""Pumpkin Seeds"", ""modifier_id"": ""99432377-1069-48cf-986a-7a3ab83957a2"", ""price"": null}, {""name"": ""Avocado"", ""modifier_id"": ""c916960b-ef1b-4408-b620-b9d113f0ef92"", ""price"": null}, {""name"": ""Tomato"", ""modifier_id"": ""67668dfb-f93a-445e-b7a2-d255a881dace"", ""price"": null}, {""name"": ""On Sourdough"", ""modifier_id"": ""99a76b77-976c-4778-a093-d7bf8d3b2cf8"", ""price"": null}]}, {""group_name"": ""Add-ons"", ""required"": false, ""modifiers"": [{""name"": ""Add Sunnyside Up"", ""modifier_id"": ""944ea02d-4db8-4561-8031-c5e4d7552130"", ""price"": 5.0}]}]"
Avocado Sunny Side Up Toast,15.59,e22a95fe-2e0b-4833-9e49-473b7950d220,Yes,"Avocado, Sunny side up, Salt and pepper on a toasted open-face slice of sourdough bread.","[{""group_name"": ""Make it spicy"", ""required"": false, ""modifiers"": [{""name"": ""Add Chili Spice"", ""modifier_id"": ""4401a9b6-3fba-4063-9926-f8855ac74d10"", ""price"": null}]}, {""group_name"": ""Avocado Sunnyside Modifier"", ""required"": false, ""modifiers"": [{""name"": ""Avocado"", ""modifier_id"": ""88ac573d-dd1a-412b-ba85-760f8aeb9ca6"", ""price"": null}, {""name"": ""Sunny side up"", ""modifier_id"": ""e7a4a6ff-adc3-498a-9b1a-fe8952a452f6"", ""price"": null}, {""name"": ""Salt and pepper"", ""modifier_id"": ""10cd174a-2075-42d1-9260-0edcce03fe3b"", ""price"": null}, {""name"": ""toasted open-face slice of sourdough bread"", ""modifier_id"": ""4a9ec260-b903-4b93-8227-f97fc805471b"", ""price"": null}]}]"
Eggplant,16.89,d7247d9d-0e0a-426e-a481-837b6afc6abb,Yes,,[]
Fettuccine Alfredo Pasta,16.89,feed4191-7110-43c8-8175-a7861f2d8ca5,Yes,"Fettuccine, white alfredo sauce. (Dairy)",[]
Montreal Spice Baked Salmon,14.95,25ec3a52-2101-4edc-87fd-e046ad29fc5b,Yes,,[]
Penne Alla Vodka,16.89,6ce05a1a-a71b-4b68-99a4-d8bd24219d2b,Yes,"Penne, marinara sauce, shredded cheese. (Dairy)",[]
Pizza Bagel,8.75,b5459e50-af34-4fd2-a20c-bc32fe675466,Yes,2 halves of in house pizza sauce topped with mozzarella and cheddar cheese,"[{""group_name"": ""Type of Bagel"", ""required"": true, ""modifiers"": [{""name"": ""Croissant"", ""modifier_id"": ""2c65dc2a-428c-4476-89ae-3bb5c35dd165"", ""price"": 3.99}, {""name"": ""Poppy Seed Bagel"", ""modifier_id"": ""c644492e-020e-46f3-a0e1-6884462a10f9"", ""price"": null}, {""name"": ""Everything Bagel"", ""modifier_id"": ""d7d65300-1c21-46dd-8303-eac7c73382db"", ""price"": null}, {""name"": ""Plain Bagel"", ""modifier_id"": ""4537045b-ce1f-49f6-bbb9-2fd5a743052d"", ""price"": null}, {""name"": ""Onion Bagel"", ""modifier_id"": ""3b7d3ad3-a000-47e4-8c91-6105c28ae4f3"", ""price"": null}, {""name"": ""Salted Bagel"", ""modifier_id"": ""40209e83-f12b-4a92-888c-9854b208f6fb"", ""price"": null}, {""name"": ""Sesame Bagel"", ""modifier_id"": ""7257fb20-2a6d-48ef-8613-7987ed18be1c"", ""price"": null}, {""name"": ""Whole Wheat Everything Bagel"", ""modifier_id"": ""0f568b33-9015-4b6a-bb51-cc1efbcaf3d3"", ""price"": null}, {""name"": ""Whole Wheat Sesame Bagel"", ""modifier_id"": ""14ff0f97-f91a-4b73-873b-6a7e4474603c"", ""price"": null}, {""name"": ""Whole Wheat Plain Bagel"", ""modifier_id"": ""8c67a21f-694c-45a0-950f-e79f7382447c"", ""price"": null}, {""name"": ""Sourdough Sandwich"", ""modifier_id"": ""8e284937-caf7-40e7-8197-03caf642a208"", ""price"": 3.99}, {""name"": ""No Bagel"", ""modifier_id"": ""8071e131-8d0b-4262-beb0-b18468f3a02f"", ""price"": null}, {""name"": ""Baguette"", ""modifier_id"": ""d7d24d97-1dee-40c4-ab7a-58b5e8ca7766"", ""price"": 2.0}, {""name"": ""Whole Wheat Baguette"", ""modifier_id"": ""8b45613b-2ba5-4dce-b483-6d791ad0518d"", ""price"": 2.0}, {""name"": ""Assorted"", ""modifier_id"": ""0d93b92d-1dfb-4777-ab31-29b3a72f4498"", ""price"": null}, {""name"": ""Garlic Bagel"", ""modifier_id"": ""e75566c6-5296-4008-b6ce-67a73f909e37"", ""price"": null}]}, {""group_name"": ""Vegetables Choose Up To 3"", ""required"": false, ""modifiers"": [{""name"": ""Tomatoes Sliced"", ""modifier_id"": ""5109b38b-839f-4746-a5aa-c31a1864abf0"", ""price"": null}, {""name"": ""Pickles"", ""modifier_id"": ""dc429568-7fe6-47da-9c46-0339253c3e8a"", ""price"": null}, {""name"": ""Cucumbers"", ""modifier_id"": ""f0bf5f82-f055-49f6-9bd2-d531102a88e5"", ""price"": null}, {""name"": ""Peppers Red"", ""modifier_id"": ""984e596a-ad75-4bae-9448-c66809e83c3b"", ""price"": null}, {""name"": ""Sliced Hot Peppers"", ""modifier_id"": ""93ee1414-d992-4318-93dc-c3018892091c"", ""price"": null}, {""name"": ""Corn"", ""modifier_id"": ""715ee77e-52eb-47f4-b8b2-b2c0ef2c9001"", ""price"": null}, {""name"": ""Mushrooms Sliced"", ""modifier_id"": ""9a2c6dfe-f379-4435-8451-94332436273c"", ""price"": null}, {""name"": ""Olives Black"", ""modifier_id"": ""45555e01-2ff8-4cc6-bf02-e77e195ffc4e"", ""price"": null}, {""name"": ""Olives Green"", ""modifier_id"": ""ba2393f0-a35a-41e0-b7d2-8d3b86c90696"", ""price"": null}, {""name"": ""Onions Red"", ""modifier_id"": ""fb8a4d18-7c2f-4c60-a38e-9734e92fd3d9"", ""price"": null}, {""name"": ""Radish"", ""modifier_id"": ""b565ebe6-4253-4e33-bf82-0245bbb3991b"", ""price"": null}, {""name"": ""Chickpeas"", ""modifier_id"": ""388765d3-1440-4e56-a4ae-4425f7a3667a"", ""price"": null}, {""name"": ""Peppers Orange"", ""modifier_id"": ""14ac76a6-8273-4201-bf9c-f70728e30e1c"", ""price"": null}, {""name"": ""Tomatoes Cherry"", ""modifier_id"": ""b59fc840-4188-430c-af33-fc5480574e29"", ""price"": null}, {""name"": ""Sweet Potatoes"", ""modifier_id"": ""903b37fe-1f99-4fbb-894a-638356700a74"", ""price"": 0.5}, {""name"": ""Israeli Salad"", ""modifier_id"": ""83270a1c-8498-41c2-ab57-15390206a3a8"", ""price"": null}, {""name"": ""Jalapeno"", ""modifier_id"": ""c9f7565b-895b-4f11-9a9b-a1ddb5fe4c80"", ""price"": 0.5}, {""name"": ""Spicy Olives"", ""modifier_id"": ""eb0c7e1f-4158-41e3-a7fa-a98a6e79d328"", ""price"": null}, {""name"": ""Lettuce"", ""modifier_id"": ""5a4e8978-8bc9-49b0-881d-fddf41c0edd4"", ""price"": null}, {""name"": ""Roasted Eggplant"", ""modifier_id"": ""75f09a89-8c10-40fa-944a-f009b369a352"", ""price"": 0.5}, {""name"": ""Fried Onions"", ""modifier_id"": ""b75fc441-8464-4f82-919e-a09c3010712f"", ""price"": 0.5}, {""name"": ""Alfalfa Sprouts"", ""modifier_id"": ""53442163-e589-4e22-bf81-f229b01aa653"", ""price"": null}]}]"
Pizza Panini Wrap,15.59,e748c9cb-e0b0-4c2a-880e-07ec0c9c56a0,Yes,,[]
Quesadilla/Panini Wrap,20.79,8d9867a8-9d13-4f96-b1f1-b5edfb817569,Yes,"Made with muenster and shredded cheese, served on a bed of greens with a roasted tomatoes, in-house creamy guacamole, in-house salsa, and sour cream","[{""group_name"": ""Extra Vegetables"", ""required"": false, ""modifiers"": [{""name"": ""Tomatoes Sliced"", ""modifier_id"": ""a212592f-42ba-44d7-9cdf-cb82dadac04d"", ""price"": 0.35}, {""name"": ""Pickles"", ""modifier_id"": ""b2a6f3f7-2746-43c1-8df5-d886e7a76b43"", ""price"": 0.35}, {""name"": ""Cucumbers"", ""modifier_id"": ""5c6492b1-5661-46f9-a15b-9cf6e65b026e"", ""price"": 0.35}, {""name"": ""Peppers Red"", ""modifier_id"": ""1a6ecc0b-92d2-46ab-91d3-de7923710933"", ""price"": 0.35}, {""name"": ""Sliced Hot Peppers"", ""modifier_id"": ""0416f92f-25a4-4b68-ac7d-e082d6a5aa6f"", ""price"": 0.35}, {""name"": ""Corn"", ""modifier_id"": ""d476e0b6-bc50-4267-b25e-485a3550239b"", ""price"": 0.35}, {""name"": ""Mushrooms Sliced"", ""modifier_id"": ""4dcea578-4560-4e74-86f0-8e1b0ad13359"", ""price"": 0.35}, {""name"": ""Olives Black"", ""modifier_id"": ""30d0cb2b-61ad-4b36-9f84-98f3287104e4"", ""price"": 0.35}, {""name"": ""Olives Green"", ""modifier_id"": ""ff737720-0e92-440f-927d-ae8888ee6c32"", ""price"": 0.35}, {""name"": ""Onions Red"", ""modifier_id"": ""3ac5a2ba-2f38-488b-b104-80bbb7cac623"", ""price"": 0.35}, {""name"": ""Onions Sauteed"", ""modifier_id"": ""782dc778-68f2-473b-95a6-ffee0572a1d2"", ""price"": 0.75}, {""name"": ""Radish"", ""modifier_id"": ""ffeb656a-74ff-4715-8057-de23623f02d5"", ""price"": 0.35}, {""name"": ""Chickpeas"", ""modifier_id"": ""b1de1d12-b598-4f0c-89ee-430ddbe77b01"", ""price"": 0.35}, {""name"": ""Mushrooms Sauteed"", ""modifier_id"": ""de33aec7-f97a-474c-819b-47d1945f1338"", ""price"": 0.75}, {""name"": ""Peppers Orange"", ""modifier_id"": ""ad582867-2cce-43e7-b75d-f62b03a88b6d"", ""price"": 0.35}, {""name"": ""Tomatoes Cherry"", ""modifier_id"": ""90f19649-0085-4995-a914-0d6c8bfa3912"", ""price"": 0.35}, {""name"": ""Sweet Potatoes"", ""modifier_id"": ""3403f0e4-8276-4d27-86f8-814da636c696"", ""price"": 0.75}, {""name"": ""Sliced Avocado"", ""modifier_id"": ""c3a52d2f-f7dd-4c49-8abf-c49b450a5d64"", ""price"": 2.5}, {""name"": ""Charif"", ""modifier_id"": ""2c07866c-4ede-49df-a9ce-4086c32b2a49"", ""price"": null}, {""name"": ""Lettuce"", ""modifier_id"": ""34795d24-060f-49ae-9a02-9cd95274b9f1"", ""price"": 0.35}, {""name"": ""Grilled Eggplant"", ""modifier_id"": ""6a3ba60f-5408-4380-8719-77db4d77fda6"", ""price"": 0.75}, {""name"": ""Jalapeno"", ""modifier_id"": ""c9f7565b-895b-4f11-9a9b-a1ddb5fe4c80"", ""price"": 0.5}, {""name"": ""Spicy Olives"", ""modifier_id"": ""13c52ef7-92c3-4fd0-b70b-2d90088765e8"", ""price"": 0.5}, {""name"": ""Fried Onions"", ""modifier_id"": ""bcec73a8-6901-4d75-a5a3-b5f4e70f6dba"", ""price"": 0.5}, {""name"": ""Arugula"", ""modifier_id"": ""7a776445-abee-41ad-919a-40fab970d955"", ""price"": 1.0}, {""name"": ""Spinach"", ""modifier_id"": ""aa9d1822-a7e0-4003-8634-87e230a2dab3"", ""price"": 1.0}, {""name"": ""Alfalfa Sprouts"", ""modifier_id"": ""b64ef7f7-1caa-4ab7-a130-f53de4a094d3"", ""price"": 0.5}, {""name"": ""Baby Corn"", ""modifier_id"": ""351823d9-89c3-41c7-8fdb-faa34927a724"", ""price"": null}]}]"
Shakshuka,25.99,cd721027-d973-4091-870c-632db5aef1b5,Yes,3 eggs fried with an assortment of tomato base  seasoned to perfection alongside a wedge of fresh sourdough with a scoop of butter and in house scallion cream cheese,"[{""group_name"": ""Add Egg"", ""required"": false, ""modifiers"": [{""name"": ""Add Egg"", ""modifier_id"": ""5639c178-35d8-4580-be50-89f7334a4435"", ""price"": 1.0}, {""name"": ""Egg White Only"", ""modifier_id"": ""355315e6-ef1b-43a7-b1b3-23066315a29b"", ""price"": 1.0}]}]"
