item_name,base_price,pos_id,available,description,modifiers_json
Caesar Salad,16.90,d7b5eb69-6c9c-463f-90ab-25a2a1c5b720,Yes,"Mixed Greens, Cherry Tomatoes, Cucumbers, Red Onion, Shredded Mozzarella Cheese, In House Hot Bagel Croutons, Caesar Dressing","[{""group_name"": ""Extra Dressing"", ""required"": false, ""modifiers"": [{""name"": ""Extra Dressing"", ""modifier_id"": ""47faaaf4-004e-4393-b0a4-c52567c883e6"", ""price"": 0.5}]}]"
Create Your Own Salad,14.30,85017a56-24d4-46fe-9b87-1830e9a465c8,Yes,"First 5 Vegetables Free - With or Without Dressings, Spreads, or Toppings","[{""group_name"": ""Vegetables Choose Up To 5"", ""required"": true, ""modifiers"": [{""name"": ""Alfalfa Sprouts"", ""modifier_id"": ""8626c7a6-1760-4266-8f8b-89a3d4b79584"", ""price"": null}, {""name"": ""Baby Corn"", ""modifier_id"": ""2b8be57f-7d35-4fc6-9124-d24b6d9d9824"", ""price"": null}, {""name"": ""Beets"", ""modifier_id"": ""75e10f36-c2d9-4ea5-a0a2-7c4fb4d8a5c1"", ""price"": null}, {""name"": ""Canned Mushrooms"", ""modifier_id"": ""e5126cfa-ddfe-4e71-8058-326ebe0bc51e"", ""price"": null}, {""name"": ""Chickpeas"", ""modifier_id"": ""388765d3-1440-4e56-a4ae-4425f7a3667a"", ""price"": null}, {""name"": ""Corn"", ""modifier_id"": ""715ee77e-52eb-47f4-b8b2-b2c0ef2c9001"", ""price"": null}, {""name"": ""Craisins"", ""modifier_id"": ""898f91e5-f0eb-41f5-b956-271afb790008"", ""price"": null}, {""name"": ""Cucumbers"", ""modifier_id"": ""f0bf5f82-f055-49f6-9bd2-d531102a88e5"", ""price"": null}, {""name"": ""Heart Of Palm"", ""modifier_id"": ""b2899ec4-e1f1-4a88-ad7b-7b3881e260c7"", ""price"": null}, {""name"": ""Israeli Salad"", ""modifier_id"": ""83270a1c-8498-41c2-ab57-15390206a3a8"", ""price"": null}, {""name"": ""Jalapeno"", ""modifier_id"": ""6aed7f65-cf3a-4785-9fac-0a3591a43de0"", ""price"": null}, {""name"": ""Lettuce"", ""modifier_id"": ""5a4e8978-8bc9-49b0-881d-fddf41c0edd4"", ""price"": null}, {""name"": ""Mushrooms Sliced Fresh"", ""modifier_id"": ""babb00cd-fb4d-4d63-9836-66bbe35d0e4d"", ""price"": null}, {""name"": ""Olives Black"", ""modifier_id"": ""45555e01-2ff8-4cc6-bf02-e77e195ffc4e"", ""price"": null}, {""name"": ""Olives Green"", ""modifier_id"": ""ba2393f0-a35a-41e0-b7d2-8d3b86c90696"", ""price"": null}, {""name"": ""Onions Red"", ""modifier_id"": ""fb8a4d18-7c2f-4c60-a38e-9734e92fd3d9"", ""price"": null}, {""name"": ""Pea Shoots"", ""modifier_id"": ""85495d54-2f16-4598-a392-d5ecc7e9032e"", ""price"": null}, {""name"": ""Peppers Orange"", ""modifier_id"": ""14ac76a6-8273-4201-bf9c-f70728e30e1c"", ""price"": null}, {""name"": ""Peppers Red"", ""modifier_id"": ""984e596a-ad75-4bae-9448-c66809e83c3b"", ""price"": null}, {""name"": ""Peppers Yellow"", ""modifier_id"": ""68f5f033-0d41-42bf-820e-edf6bb80d1d9"", ""price"": null}, {""name"": ""Pickles"", ""modifier_id"": ""dc429568-7fe6-47da-9c46-0339253c3e8a"", ""price"": null}, {""name"": ""Purple Cabbage"", ""modifier_id"": ""0e85aa91-4b4a-4dc1-985f-41336f892ac6"", ""price"": null}, {""name"": ""Radish"", ""modifier_id"": ""b565ebe6-4253-4e33-bf82-0245bbb3991b"", ""price"": null}, {""name"": ""Sliced Hot Peppers"", ""modifier_id"": ""93ee1414-d992-4318-93dc-c3018892091c"", ""price"": null}, {""name"": ""Spicy Olives"", ""modifier_id"": ""308ec477-320e-4b5e-9cca-dc8e4da3e82c"", ""price"": null}, {""name"": ""Sweet Potatoes"", ""modifier_id"": ""903b37fe-1f99-4fbb-894a-638356700a74"", ""price"": 0.5}, {""name"": ""Tomatoes Cherry"", ""modifier_id"": ""b59fc840-4188-430c-af33-fc5480574e29"", ""price"": null}, {""name"": ""Tomatoes Sliced"", ""modifier_id"": ""5109b38b-839f-4746-a5aa-c31a1864abf0"", ""price"": null}, {""name"": ""Quinoa"", ""modifier_id"": ""51411d91-ce94-4c64-b854-398002a68924"", ""price"": null}]}, {""group_name"": ""Salad Extra Vegetables"", ""required"": false, ""modifiers"": [{""name"": ""Arugula"", ""modifier_id"": ""ab9bd95f-bede-40d3-91b0-8306c59516c5"", ""price"": 2.0}, {""name"": ""Romaine Lettuce"", ""modifier_id"": ""39927d8d-1e4f-4cd2-8e25-cac8f2555ea6"", ""price"": 1.0}, {""name"": ""Spinach"", ""modifier_id"": ""213611eb-ed6e-4ecf-951e-22059470e563"", ""price"": 1.0}, {""name"": ""Alfalfa Sprouts"", ""modifier_id"": ""fc1de870-b9bc-4883-9007-c3247132b10d"", ""price"": 1.0}, {""name"": ""Baby Corn"", ""modifier_id"": ""6ccd5509-a440-4ef4-ab12-a39342a7d849"", ""price"": 0.5}, {""name"": ""Beets"", ""modifier_id"": ""20b65045-004a-4d51-bfc9-70710ea20326"", ""price"": 0.5}, {""name"": ""Canned Mushrooms"", ""modifier_id"": ""afda2bc7-8a0f-44da-87d8-55958987f637"", ""price"": 0.5}, {""name"": ""Chickpeas"", ""modifier_id"": ""bd68c69f-5a6b-4675-8a70-74b2edcccab5"", ""price"": 0.5}, {""name"": ""Corn"", ""modifier_id"": ""86b90fc4-741d-45d2-b270-a4eab3807447"", ""price"": 0.5}, {""name"": ""Craisins"", ""modifier_id"": ""820014c2-ddd5-408b-b117-7e972fe56ff2"", ""price"": null}, {""name"": ""Cucumbers"", ""modifier_id"": ""ba9d8cbe-b2d5-4963-9792-eb3db6cc1cac"", ""price"": 0.5}, {""name"": ""Fresh Mushrooms"", ""modifier_id"": ""aff464a8-14e4-4191-9e27-ed463413c699"", ""price"": 0.5}, {""name"": ""Grilled Eggplant"", ""modifier_id"": ""6a3ba60f-5408-4380-8719-77db4d77fda6"", ""price"": 0.75}, {""name"": ""Hearts of Palm"", ""modifier_id"": ""527b8098-9022-4a92-a02b-cc75a9dd7ff5"", ""price"": 0.5}, {""name"": ""Israeli Salad"", ""modifier_id"": ""fc8d3739-3543-46de-b52f-6410041a3177"", ""price"": 0.5}, {""name"": ""Jalapeno"", ""modifier_id"": ""839ddff7-bba6-4b7f-b569-2cf51730d4b1"", ""price"": 0.5}, {""name"": ""Lettuce"", ""modifier_id"": ""dbd86bec-b8c8-44ed-96e2-7654802fe38a"", ""price"": 0.5}, {""name"": ""Olives Black"", ""modifier_id"": ""1130a7b8-ef6b-463c-80a7-edf77728a777"", ""price"": 0.5}, {""name"": ""Olives Green"", ""modifier_id"": ""121626fa-5478-41cb-a999-753d525855d2"", ""price"": 0.5}, {""name"": ""Onions Red"", ""modifier_id"": ""9d00daee-6c90-4a91-ac97-39269396e8f1"", ""price"": 0.5}, {""name"": ""Onions Sauteed"", ""modifier_id"": ""782dc778-68f2-473b-95a6-ffee0572a1d2"", ""price"": 0.75}, {""name"": ""Pea Shoots"", ""modifier_id"": ""550d3079-4bcd-4f88-816d-067a95fca3c7"", ""price"": 1.0}, {""name"": ""Peppers Orange"", ""modifier_id"": ""a947c755-31b0-49db-b6ec-59b0215e304d"", ""price"": 0.5}, {""name"": ""Peppers Red"", ""modifier_id"": ""96f8a0d2-f20d-41e3-942d-f62d617a3d3f"", ""price"": 0.5}, {""name"": ""Peppers Yellow"", ""modifier_id"": ""e81cbb26-49f7-47f6-889f-79a962846882"", ""price"": 0.5}, {""name"": ""Pickles"", ""modifier_id"": ""912784a0-e120-4db3-b0de-3b59cf9276a6"", ""price"": 0.5}, {""name"": ""Purple Cabbage"", ""modifier_id"": ""4a678bef-0516-443f-b999-c16c04812fee"", ""price"": 0.5}, {""name"": ""Radish"", ""modifier_id"": ""c97d3f89-d409-495a-ab41-6298182a445c"", ""price"": 0.5}, {""name"": ""Sliced Hot Peppers"", ""modifier_id"": ""6668c89b-2131-4baf-92f7-b046a7202d59"", ""price"": 0.5}, {""name"": ""Spicy Olives"", ""modifier_id"": ""5ee8dd34-558c-426d-a2b9-c851a1a8ffd5"", ""price"": 0.5}, {""name"": ""Sweet Potatoes"", ""modifier_id"": ""3403f0e4-8276-4d27-86f8-814da636c696"", ""price"": 0.75}, {""name"": ""Tomatoes Cherry"", ""modifier_id"": ""4b47422d-50e1-4dfc-978d-5177a7fcdeec"", ""price"": 0.5}, {""name"": ""Tomatoes Sliced"", ""modifier_id"": ""29b18f11-8c06-40ef-93ce-e38b8b6decff"", ""price"": 0.5}, {""name"": ""Saut'eed Mushroom"", ""modifier_id"": ""81a52400-d021-401c-83a1-49c3607f6f05"", ""price"": 0.75}]}, {""group_name"": ""Salad Dressings"", ""required"": false, ""modifiers"": [{""name"": ""Garlic Mayo"", ""modifier_id"": ""40058de3-214c-4d83-8383-90dabcde6c41"", ""price"": null}, {""name"": ""Caesar"", ""modifier_id"": ""0e01302f-cfe2-4acb-b949-adad7b0f6e2e"", ""price"": null}, {""name"": ""Spicy Mayo"", ""modifier_id"": ""4ab0d3ee-9ff1-4dca-b78a-e63ef19fd698"", ""price"": null}, {""name"": ""Nish Nosh"", ""modifier_id"": ""e6af9579-825a-49d9-bcf8-131d705695b0"", ""price"": null}, {""name"": ""Oil, Salt, Pepper"", ""modifier_id"": ""8f2c1fb1-e97a-413e-836d-7f5798782d9d"", ""price"": null}, {""name"": ""Honey Mustard"", ""modifier_id"": ""00c8e814-7c43-481b-bdb6-84ee67a4108b"", ""price"": null}, {""name"": ""Italian"", ""modifier_id"": ""40605af8-9822-454b-a9eb-dcba3bf9dfaf"", ""price"": null}, {""name"": ""Thousand Island"", ""modifier_id"": ""2525c9f8-3a6c-49fc-9ce7-9e0ac25c6ad1"", ""price"": null}, {""name"": ""Balsamic"", ""modifier_id"": ""9b13e495-f777-4960-bce4-9faf387adbe7"", ""price"": null}, {""name"": ""Charif"", ""modifier_id"": ""a0d94243-d429-4263-85cd-1451f03c31ca"", ""price"": null}, {""name"": ""Mayo"", ""modifier_id"": ""742ed96b-1727-4412-a2d0-5859ab267643"", ""price"": null}]}, {""group_name"": ""Dressing Options"", ""required"": false, ""modifiers"": [{""name"": ""On Side"", ""modifier_id"": ""e0777b9a-fa6c-4d77-a32a-3f93fd7b8d87"", ""price"": null}, {""name"": ""No Dressing"", ""modifier_id"": ""ab777fcd-3c1d-4b1a-b472-a002795f3f0c"", ""price"": null}, {""name"": ""In Salad"", ""modifier_id"": ""c5a9cd0b-bc64-4fe7-b5c8-49cf91873d00"", ""price"": null}]}, {""group_name"": ""Salad Lettuce"", ""required"": true, ""modifiers"": [{""name"": ""Lettuce"", ""modifier_id"": ""5a4e8978-8bc9-49b0-881d-fddf41c0edd4"", ""price"": null}, {""name"": ""No Lettuce"", ""modifier_id"": ""17cf41aa-b2ae-4a28-b961-74db84776a79"", ""price"": 1.0}]}, {""group_name"": ""Salad Extra Toppings"", ""required"": false, ""modifiers"": [{""name"": ""Croutons"", ""modifier_id"": ""17fd94e8-c730-4603-a765-e3a699006b90"", ""price"": 1.0}, {""name"": ""Feta Cheese"", ""modifier_id"": ""d90bfe7d-8535-4102-ab66-323bcef746c8"", ""price"": 1.0}, {""name"": ""Mozzarella Cheese"", ""modifier_id"": ""d6beb504-f48b-4b58-98fe-afaa18ec1da0"", ""price"": 1.0}]}, {""group_name"": ""Salad Add Spread"", ""required"": false, ""modifiers"": [{""name"": ""Tuna"", ""modifier_id"": ""d0978204-4aa8-45bc-99b9-449fbe547e5d"", ""price"": 2.99}, {""name"": ""Spicy Tuna"", ""modifier_id"": ""b10bc473-e3f7-45f3-8ba3-2a3bd4992004"", ""price"": 2.99}, {""name"": ""Veg Tuna"", ""modifier_id"": ""795ddde5-555c-4a5f-ae1f-72dac19b3227"", ""price"": 2.99}, {""name"": ""Sliced Avocado"", ""modifier_id"": ""4fc67a13-9def-480c-9896-5f9f85fa4c82"", ""price"": 2.99}, {""name"": ""Egg Salad"", ""modifier_id"": ""321dda1e-32bb-4344-9d7b-5f649d02eec9"", ""price"": 2.99}, {""name"": ""Sliced Lox"", ""modifier_id"": ""a4a9adc0-ea23-49d8-bd42-56b2bcb2e6a9"", ""price"": 5.0}, {""name"": ""Guacamole"", ""modifier_id"": ""238efec1-69c4-40af-87bb-b3c01237f49b"", ""price"": 2.99}, {""name"": ""sliced Eggs"", ""modifier_id"": ""0226d82f-0e88-4091-aa77-c0db62e93ca1"", ""price"": 1.99}]}]"
Exotic Dairy Salad,22.09,e1016b36-c87f-4047-9d14-bc3ddc1776e2,Yes,"Mixed greens, Beets, Roasted Yams, Pomegranate Arils, Feta Cheese, pepitas with Balsamic Vinaigrette","[{""group_name"": ""Extra Dressing"", ""required"": false, ""modifiers"": [{""name"": ""Extra Dressing"", ""modifier_id"": ""47faaaf4-004e-4393-b0a4-c52567c883e6"", ""price"": 0.5}]}]"
Greek Feta Cheese Salad,20.78,8b8b0c6c-d5ca-4fcb-9429-780c72cc5b8d,Yes,"Mixed Greens, Cherry Tomatoes, Red Onions, Cucumbers, Black Olives, Feta Cheese, Italian Vinaigrette Dressing","[{""group_name"": ""Extra Dressing"", ""required"": false, ""modifiers"": [{""name"": ""Extra Dressing"", ""modifier_id"": ""47faaaf4-004e-4393-b0a4-c52567c883e6"", ""price"": 0.5}]}]"
Grilled Veg Quinoa  Salad,20.80,9360ac92-edff-4f74-b02d-7f57d0c4b4a1,Yes,"Mixed Greens, Cucumbers, Quinoa, Sautéed Mushrooms, Roasted Sweet Potatoes, , Light Garlic Mayo Dressing","[{""group_name"": ""Extra Dressing"", ""required"": false, ""modifiers"": [{""name"": ""Extra Dressing"", ""modifier_id"": ""47faaaf4-004e-4393-b0a4-c52567c883e6"", ""price"": 0.5}]}]"
Grilled Veg Salmon Salad,25.99,2b5e8d74-3942-486e-ad58-855fb841c8ef,Yes,"Mixed Greens, Cucumbers, Quinoa, Sautéed Mushrooms, Roasted Sweet Potatoes, Montreal Spice Grilled Salmon, Light Garlic Mayo Dressing","[{""group_name"": ""Extra Dressing"", ""required"": false, ""modifiers"": [{""name"": ""Extra Dressing"", ""modifier_id"": ""47faaaf4-004e-4393-b0a4-c52567c883e6"", ""price"": 0.5}]}]"
Nish Nosh Salad,16.90,619eb905-f3b3-407b-a1a5-7357c07869b0,Yes,"Lettuce, Purple Cabbage, Tomatoes, Red Onion, Nish Nosh Crackers, Nish Nosh Dressing","[{""group_name"": ""Extra Dressing"", ""required"": false, ""modifiers"": [{""name"": ""Extra Dressing"", ""modifier_id"": ""47faaaf4-004e-4393-b0a4-c52567c883e6"", ""price"": 0.5}]}]"
Sliced Eggs Avocado Salad,21.89,d5202c79-01c7-4b63-a5c3-483e326e6bc0,Yes,"Mixed Greens, Cherry Tomatoes, Cucumbers, Red Onion, Avocado, Sliced Egg Light Garlic Mayo Dressing","[{""group_name"": ""Extra Dressing"", ""required"": false, ""modifiers"": [{""name"": ""Extra Dressing"", ""modifier_id"": ""47faaaf4-004e-4393-b0a4-c52567c883e6"", ""price"": 0.5}]}]"
Teriyaki Salmon Salad,25.99,0e6a3d15-0cf5-489b-87b6-6533148460e4,Yes,"Mixed Greens, Cherry Tomatoes, Cucumbers, Peppers, Red Cabbage, Teriyaki Salmon, Light Garlic Mayo Dressing","[{""group_name"": ""Extra Dressing"", ""required"": false, ""modifiers"": [{""name"": ""Extra Dressing"", ""modifier_id"": ""47faaaf4-004e-4393-b0a4-c52567c883e6"", ""price"": 0.5}]}]"
Tuna Chickpea Salad,20.80,19bff1ca-2a67-4861-9515-83bc46a3dab2,Yes,"Mixed Greens, Cherry Tomatoes, Cucumbers, Radish, Red Onion, Roasted Chickpeas, Lemon Garlic Light Mayo Dressing","[{""group_name"": ""Extra Dressing"", ""required"": false, ""modifiers"": [{""name"": ""Extra Dressing"", ""modifier_id"": ""47faaaf4-004e-4393-b0a4-c52567c883e6"", ""price"": 0.5}]}]"
